ID;Etapa;Dependências;Entrega;Aceite;Situação;Responsável;Estimativa
B01;Fundação de domínio, semântica e OOP;Nenhuma;"Estados, invariantes, módulos, agregados, Value Objects, dicionário empresarial, contratos dos formulários, classificação e ADRs; backlog e decisões pendentes.";"Exemplos distinguem pedido/faturamento/recebimento/custo/pagamento; todo formulário inicial tem contrato; diagrama sem ciclos; regras sem dados são marcadas pendentes.";Planejado;A definir;A estimar após fundação/escopo
B02;Base executável, contratos e persistência;B01;Java modular, Python worker, banco proposto aprovado em ADR, migrações, API pública/interna, job mínimo durável, outbox, auditoria técnica e CI.;"Subir ambiente limpo; persistir após reinício; job retomado após falha; nenhum acesso direto do Python a tabelas de negócio; build e contratos verificáveis.";Planejado;A definir;A estimar após fundação/escopo
B03;Acesso, cadastros e metadados;B02;"Sessões, papéis/permissões, empresa, parceiros/unidades/contatos, itens/unidades, contas/categorias, projetos/equipamentos mínimos; catálogo semântico versionado.";"API nega ação e objeto não autorizado; edição desatualizada é rejeitada; unidades/aliases preservam origem; metadados não contornam invariantes.";Planejado;A definir;A estimar após fundação/escopo
B04;Arquivos, Python, conferência e recuperação;B02, B03;"Upload privado/hash, extração e normalização, staging, divergências/decisão, aplicação idempotente inicial; backup/restore; DatasetSnapshot e AnalysisRun básicos.";"Reenvio não duplica aplicação; timeout/worker antigo não publica resultado; proveniência recuperável; restore de banco+arquivos ensaiado.";Planejado;A definir;A estimar após fundação/escopo
B05;Comercial e primeiro fluxo transacional;B03, B04;"Leads/interações, propostas versionadas, pedidos/aditivos, projetos/equipamentos, parcelas, baixa parcial/estorno mínimo; eventos e indicadores de carteira.";"Duas confirmações produzem um conjunto; timeout após commit recupera mesmos IDs; baixa e estorno reconciliam; cancelamento ajusta fatos e indicadores.";Planejado;A definir;A estimar após fundação/escopo
B06;Financeiro, documentos, conciliação e caixa;B05;"Pagar/receber, ajustes/renegociação/adiantamentos, documentos vinculados, contas/transferências, OFX/CSV e conciliação; matriz de caixa; indicadores determinísticos.";"Duas baixas não ultrapassam saldo; extrato reimportado não duplica; transferência é neutra no consolidado; matriz e composição reconciliam; simulação isolada.";Planejado;A definir;A estimar após fundação/escopo
B07;Engenharia e planejamento;B05;"BOM/modelo/revisão por projeto, EAP, atividades/calendários/dependências, linha de base, avanço e recálculo; dados para capacidade.";"Ciclo rejeitado; linha de base preservada; revisão não muda máquina em produção; custos e unidades conferem; divergência R$ 3.000 registrada.";Planejado;A definir;A estimar após fundação/escopo
B08;Suprimentos, estoque e terceiros;B06, B07;Necessidades líquidas, cotações, compras/aprovação, recebimento parcial, reserva/consumo/devolução/transferência, inventário e custo médio.;"Reservas concorrentes não excedem físico; terceiro preserva propriedade; custo apropriado uma vez; documento e compra não duplicam obrigação.";Planejado;A definir;A estimar após fundação/escopo
B09;Produção, qualidade, instalação e custo;B07, B08;Ordens/roteiros, horas/consumo, inspeções/checklists/NC/retrabalho, execução em campo, despesas, aceite e composição montada.;"Cada custo tem origem única; pagamento não repete custo; critérios de inspeção e aceite explícitos; garantia não parte da data prevista.";Planejado;A definir;A estimar após fundação/escopo
B10;Repasses, fiscal gerencial, indicadores e central;B06, B09;"Regras de repasse versionadas, simulação/confirmação/ajuste; competência fiscal/histórico/contador; catálogos de indicadores; achados determinísticos, decisões e planos de ação.";"Confirmar duas vezes não duplica títulos; memória congelada; indicador abre composição/fórmula; ausente distinto de zero; achados deduplicados; aceitar achado não executa pagamento.";Planejado;A definir;A estimar após fundação/escopo
