Tela ID;Tela;Menu;Domínio;API proposta;Fase;Colunas atuais do mock (referência, não esquema final);Ação do mock (referência);Vínculos;Responsabilidade backend
dashboard;Visão geral;Meu cockpit;Consultas/indicadores;/dashboards;B05, B10;Projeto | Cliente | Etapa | Avanço | Valor | Entrega;Abrir carteira;Carteira de projetos | Fluxo de caixa;"Indicadores centralizados; composição e base temporal; motor 05"
clientes;Clientes e unidades;Cadastros;Cadastros;/partners, /partner-units, /contacts;B03;Código | Cliente | Cidade / UF | Unidades | Situação;Novo cliente;Pedidos e contratos | Equipamentos | Contas a receber;"Identidade, unidades, contatos e aliases; valor/satisfação em B11/B14"
fornecedores;Fornecedores;Cadastros;Cadastros/suprimentos;/partners, /supplier-items;B03, B08;Código | Fornecedor | Categoria | Prazo | Situação;Novo fornecedor;Pedidos de compra | Recebimentos e terceiros;"Papel fornecedor; condições e desempenho"
materiais;Materiais e serviços;Cadastros;Cadastros/engenharia;/items, /unit-of-measures;B03, B07;Código | Descrição | Unidade | Categoria | Custo de referência;Novo item;Estoque e inventário | BOM — composição de custos | Fornecedores;Precisão/unidade, categoria e versões
equipamentos;Equipamentos;Cadastros;Projetos/equipamentos;/equipment;B03, B05, B09;Equipamento | Modelo | Cliente | Projeto | Situação;Novo equipamento;Detalhe do projeto | Assistência técnica | Manutenção preventiva;Modelo/revisão, cliente/unidade, série, composição e garantia
prospeccao;Prospecção;Comercial;Comercial;/leads, /interactions;B05;Código | Empresa | Cidade / UF | Interesse | Próxima ação;Registrar interação;Oportunidades e propostas | Clientes e unidades;"Funil e próximas ações; métodos comerciais elegíveis em B14/B15"
propostas;Oportunidades e propostas;Comercial;Comercial;/opportunities, /proposals;B05;Proposta | Cliente | Revisão | Validade | Valor | Situação;Gerar pedido;Pedidos e contratos | Custos e resultado;"Revisões, itens e condições; preço/cenários com hipótese explícita"
pedidos;Pedidos e contratos;Comercial;Comercial;/sales-orders;B05;Pedido | Cliente | Projeto | Contratação | Valor | Situação;Confirmar pedido;Detalhe do projeto | Contas a receber | Documentos e faturamento;"Confirmar cria conjunto único; aditivos/cancelamentos; fatos/indicadores"
carteira;Carteira de projetos;Projetos e engenharia;Projetos/consultas;/projects;B05;Projeto | Cliente | Etapa | Avanço | Valor contratado | Entrega;Abrir projeto;Detalhe do projeto | EAP e cronograma | Custos e resultado;Contratado, estágio, entregas e composição dos indicadores
projeto;Detalhe do projeto;Projetos e engenharia;Projetos/consulta integrada;/projects/{id}, /projects/{id}/overview;B05–B10;Etapa | Responsável | Previsão | Avanço | Situação;Abrir cronograma;EAP e cronograma | BOM — composição de custos | Custos e resultado | Contas a receber;"Fachada de vínculos; sem tabela gigante com dados duplicados"
bom;BOM — composição de custos;Projetos e engenharia;Engenharia;/bom-templates, /bom-revisions, /project-boms;B07;Código | Componente | Quantidade | Unidade | Custo unitário | Subtotal;Criar revisão;Materiais e serviços | Necessidades e cotações | Custos e resultado;"Aplicar revisão; quantidades/unidades; necessidade e custo"
cronograma;EAP e cronograma;Projetos e engenharia;Engenharia/planejamento;/schedules, /activities, /baselines;B07;Atividade | Responsável | Início | Término | Avanço;Registrar avanço;Ordens de produção | Necessidades e cotações;"Dependências, datas e baseline; risco/capacidade posterior"
necessidades;Necessidades e cotações;Operação industrial;Suprimentos;/requirements, /quotations;B08;Item | Descrição | Necessário | Disponível | Faltante | Data necessária;Gerar compra;Pedidos de compra | Fornecedores | Estoque e inventário;MRP, disponibilidade/reservas e comparação
compras;Pedidos de compra;Operação industrial;Suprimentos;/purchase-orders;B08;Pedido | Fornecedor | Projeto | Entrega prevista | Valor | Situação;Aprovar compra;Recebimentos e terceiros | Contas a pagar;Aprovação e obrigação de origem, entrega parcial
recebimentos;Recebimentos e terceiros;Operação industrial;Recebimentos/terceiros;/receipts, /third-party-dispatches, /third-party-returns;B08;Registro | Pedido | Item / serviço | Quantidade | Local | Situação;Conferir recebimento;Estoque e inventário | Pedidos de compra;"Conferência física e serviço aceito; propriedade/local"
estoque;Estoque e inventário;Operação industrial;Estoque;/stock/positions, /stock/reservations, /stock/movements;B08;Item | Descrição | Local | Físico | Reservado | Disponível;Registrar reserva;Materiais e serviços | Ordens de produção | Recebimentos e terceiros;Saldo físico/reservado/disponível e custo
producao;Ordens de produção;Operação industrial;Produção;/production-orders, /production-entries;B09;Ordem | Equipamento | Operação | Responsável | Avanço | Situação;Apontar produção;Inspeções e qualidade | Estoque e inventário | EAP e cronograma;"Roteiro/horas/consumo; recursos e sequenciamento em B14/B15"
qualidade;Inspeções e qualidade;Operação industrial;Qualidade;/inspections, /nonconformities;B09;Inspeção | Equipamento | Etapa | Responsável | Data | Resultado;Registrar inspeção;Ordens de produção | Instalação e entrega;"Checklist, evidências e liberação; medição/calibração em B14/B15"
instalacao;Instalação e entrega;Operação industrial;Instalação;/installations, /acceptances;B09;Instalação | Cliente | Equipamento | Data | Equipe | Situação;Registrar aceite;Equipamentos | Assistência técnica;"Execução, despesas e aceite; logística em B14/B15"
documentos;Documentos e faturamento;Financeiro;Documentos/financeiro;/documents, /document-title-links;B06;Documento | Cliente / fornecedor | Emissão | Competência | Valor | Situação;Conferir documento;Contas a receber | Contas a pagar | Impostos gerenciais;"Competência/classificação; não duplicar títulos"
receber;Contas a receber;Financeiro;Financeiro;/financial-titles?direction=receivable, /settlements;B05, B06;Título | Cliente | Vencimento | Original | Recebido | Saldo | Situação;Registrar recebimento;Fluxo de caixa | Contas e conciliação | Pedidos e contratos;Baixa parcial, crédito, ajuste/estorno e cobrança
pagar;Contas a pagar;Financeiro;Financeiro;/financial-titles?direction=payable, /settlements;B06;Título | Beneficiário | Vencimento | Original | Pago | Saldo | Situação;Registrar pagamento;Pedidos de compra | Fluxo de caixa | Contas e conciliação;Obrigações, baixa e tesouraria
conciliacao;Contas e conciliação;Financeiro;Financeiro;/bank-accounts, /statements, /reconciliations, /transfers;B06;Data | Descrição do extrato | Valor | Lançamento | Situação;Conciliar selecionado;Contas a receber | Contas a pagar | Fluxo de caixa;Deduplicação de extratos e conciliação N:N
caixa;Fluxo de caixa;Financeiro;Financeiro/indicadores;/cash-flow;B06;Mês | Saldo inicial | Entradas | Saídas | Saldo final | Base;Abrir contas a receber;Contas a receber | Contas a pagar | Contas e conciliação;"Matriz, composição, realizado/previsto; cenários separados"
custos;Custos e resultado;Financeiro;Custos/gestão;/costs, /project-budgets;B06, B08, B09, B10;Categoria | Orçado | Comprometido | Incorrido | Saldo a executar;Abrir composição;BOM — composição de custos | Pedidos de compra | Ordens de produção;Origem única, rateio, orçado/comprometido/incorrido
repasses;Repasses;Gestão;Repasses;/distribution-rules, /distribution-runs;B10;Beneficiário demo | Base recebida | Percentual demo | Previsto | Pago | Saldo;Aprovar simulação;Contas a pagar | Custos e resultado;"Base/revisão/memória; confirmação única"
impostos;Impostos gerenciais;Gestão;Fiscal gerencial;/tax-periods, /tax-parameters, /tax-confirmations;B10;Competência | Receita documentada | Histórico | Simulação | Confirmado contador | Situação;Registrar conferência;Documentos e faturamento | Contas a pagar;Histórico/simulação/contador separados
assistencia;Assistência técnica;Pós-venda;Pós-venda;/service-tickets, /service-orders;B11;Chamado | Cliente | Equipamento | Assunto | Prioridade | Situação;Registrar atendimento;Equipamentos | Estoque e inventário | Manutenção preventiva;Equipamento/garantia, peças/horas/custos
preventiva;Manutenção preventiva;Pós-venda;Pós-venda;/preventive-plans, /preventive-occurrences;B11;Plano | Equipamento | Periodicidade | Última execução | Próxima execução | Situação;Gerar ordem de serviço;Assistência técnica | Equipamentos;Ocorrência única e OS rastreável
relatorios;Relatórios;Gestão;Consultas/indicadores;/reports, /exports;B06, B10;Relatório | Descrição | Formato | Atualização;Abrir relatório;Carteira de projetos | Fluxo de caixa | Custos e resultado;"Mesma base das telas; sem fórmula duplicada"
importacao;Importação e conferência;Administração;Integração/qualidade;/imports, /jobs;B04, B12;Lote | Arquivo demonstrativo | Registros | Pendências | Situação;Simular novo lote;Materiais e serviços | Carteira de projetos;Proveniente, revisado e aplicado idempotentemente
configuracoes;Configurações e manutenção;Administração;Plataforma;/settings, /roles, /audit-events;B02, B03, B13;Configuração | Valor | Estado;Reiniciar demonstração;;"Permissões e parâmetros; operações administrativas restritas"
