ID;Família;Recurso;Dados;Métodos;Decisão apoiada;Status;Responsabilidade
AN-001;Comercial, marketing e valor para o cliente;Clientes, unidades e contatos;Segmento, localização, equipamentos, relacionamento e histórico;"Frequências, Pareto e concentração; agrupamento por similaridade quando houver dados";Dependência de clientes, segmentos atendidos e lacunas comerciais;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-002;Comercial, marketing e valor para o cliente;Prospecção e oportunidades;Origem, necessidade, estágio, interações e motivos de perda;"Conversão por etapa, tempo de permanência, atualização bayesiana de taxas; regressão logística validada";Oportunidades prioritárias e pontos de perda no funil;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-003;Comercial, marketing e valor para o cliente;Propostas e precificação;Escopo, preço, desconto, custo, prazo e resultado da negociação;"Margem de contribuição, ponto de equilíbrio, sensibilidade; elasticidade quando identificável";Efeito de descontos e condições sobre margem e conversão;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-004;Comercial, marketing e valor para o cliente;Pedidos, contratos e carteira;Quantidades, valores, datas, revisões, cancelamentos e pendências;Análise de coortes, decomposição por produto/cliente, taxas de crescimento;Evolução da carteira e descompasso entre vendas, produção e entrega;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-005;Comercial, marketing e valor para o cliente;Previsão de demanda;Pedidos confirmados por produto e período, perdas, sazonalidade e exposição comercial;"Referência ingênua; suavização exponencial; Croston/SBA para demanda intermitente; ARIMA quando elegível";Faixas de demanda futura para compras e capacidade;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-006;Comercial, marketing e valor para o cliente;Campanhas e canais;Investimento, contatos, oportunidades, conversões e receitas vinculadas;Custo por aquisição, retorno por coorte, testes controlados e inferência bayesiana;Canais que geram negócios e experimentos que merecem continuidade;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-007;Comercial, marketing e valor para o cliente;Planejamento de marketing;Orçamento, capacidade comercial e resposta observada por canal;"Programação linear; curvas de resposta e análise marginal quando estimáveis";Distribuição sugerida do orçamento, com limites e hipóteses;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-008;Comercial, marketing e valor para o cliente;Plano de valor do cliente;Problema inicial, metas acordadas, referência anterior, investimento e medições posteriores;Custo total de propriedade, retorno, payback, valor presente e sensibilidade;Benefício econômico e operacional esperado e observado;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-009;Comercial, marketing e valor para o cliente;Satisfação e relacionamento;Pesquisas, reclamações, recorrência, atendimento e recomendações;Distribuições, intervalos de confiança, coortes e associação com resultados;Clientes com dificuldades, oportunidades de melhoria e expansão;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-010;Financeiro, contabilidade gerencial e fiscal;Contas a receber e cobrança;Parcelas, vencimentos, pagamentos, atrasos e renegociações;"Faixas de atraso, distribuição do tempo de recebimento; modelos de sobrevivência quando elegíveis";Entradas prováveis, atraso recorrente e prioridades de acompanhamento;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-011;Financeiro, contabilidade gerencial e fiscal;Contas a pagar e tesouraria;Obrigações, juros, descontos, vencimentos e recursos disponíveis;Equivalência financeira, custo efetivo e otimização com restrições;Alternativas de pagamento e necessidade de capital;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-012;Financeiro, contabilidade gerencial e fiscal;Conciliação e consistência financeira;Extratos, títulos e liquidações;Correspondência por regras, tolerâncias monetárias e detecção robusta de valores atípicos;Duplicidades, diferenças e movimentos sem vínculo;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-013;Financeiro, contabilidade gerencial e fiscal;Fluxo de caixa e cenários;Saldos, compromissos, recebimentos esperados e hipóteses;Projeção determinística, Monte Carlo e testes de estresse;Probabilidade estimada de insuficiência de caixa e período de exposição;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-014;Financeiro, contabilidade gerencial e fiscal;Custos e resultado por projeto;Materiais, serviços, horas, despesas, receita e impostos;Custeio por atividade/tempo, decomposição preço–quantidade–mix e análise de desvios;Fontes de perda de margem e projetos que geram resultado;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-015;Financeiro, contabilidade gerencial e fiscal;Orçamento empresarial;Metas, receitas, custos fixos/variáveis e realizado;Análise de variações, cenários e sensibilidade;Onde o orçamento se afastou da execução e quais medidas testar;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-016;Financeiro, contabilidade gerencial e fiscal;Investimentos e desenvolvimento;Desembolso, benefícios, vida útil e riscos;VPL, TIR quando aplicável, payback descontado e simulação;Comparação de investimentos e condições para viabilidade;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-017;Financeiro, contabilidade gerencial e fiscal;Repasses e reservas;Beneficiários, bases, percentuais, vigência e pagamentos;Álgebra de alocação, restrições de soma e análise de sensibilidade;Distribuição explicável e efeito sobre liquidez;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-018;Financeiro, contabilidade gerencial e fiscal;Contabilidade gerencial;Competência, classificação, centros de resultado e critérios de rateio;Matrizes de alocação, reconciliação e análise vertical/horizontal;Resultado por área, cliente, produto e projeto;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
AN-019;Financeiro, contabilidade gerencial e fiscal;Fiscal gerencial;Documentos, natureza da operação, competência, parâmetros e apuração externa;Regras exatas por vigência, funções por faixas e comparação de cenários;Divergências, exposição e efeito financeiro de hipóteses;"Planejado; execução sujeita a dados/validação";"Java: fatos e decisões; Python: métodos analíticos"
